Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Book Apointment,Chrome 117.0.0.0,,,2023-10-12 17:22:57,2023-10-12 17:23:47,50.690s,PASSED
,,,,,,,
Test Cases/Data Driven/TC30 - Data Driven_CURA,Chrome 117.0.0.0,,,2023-10-12 17:22:57,2023-10-12 17:23:17,19.425s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 117.0.0.0,,,2023-10-12 17:22:58,2023-10-12 17:23:04,6.474s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username""), UserName)",Chrome 117.0.0.0,,,2023-10-12 17:23:04,2023-10-12 17:23:05,0.973s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Password""), Password)",Chrome 117.0.0.0,,,2023-10-12 17:23:05,2023-10-12 17:23:06,0.890s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Login_Btn""))",Chrome 117.0.0.0,,,2023-10-12 17:23:06,2023-10-12 17:23:08,1.261s,PASSED
"selectOptionByValue(findTestObject(""Page_CURA Healthcare Service/select_Healthcare Center""), HealthCenter, false)",Chrome 117.0.0.0,,,2023-10-12 17:23:08,2023-10-12 17:23:08,0.891s,PASSED
"check(findTestObject(""Page_CURA Healthcare Service/Hospital readmission""))",Chrome 117.0.0.0,,,2023-10-12 17:23:08,2023-10-12 17:23:09,0.432s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/input_None_programs""))",Chrome 117.0.0.0,,,2023-10-12 17:23:09,2023-10-12 17:23:09,0.376s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Visit Date""), VisitDate)",Chrome 117.0.0.0,,,2023-10-12 17:23:09,2023-10-12 17:23:10,0.785s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Comment""), Comment)",Chrome 117.0.0.0,,,2023-10-12 17:23:10,2023-10-12 17:23:11,0.868s,PASSED
"submit(findTestObject(""Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 117.0.0.0,,,2023-10-12 17:23:11,2023-10-12 17:23:12,0.731s,PASSED
"takeScreenshot(""C:\desktop\booking_confirm.jpg"")",Chrome 117.0.0.0,,,2023-10-12 17:23:12,2023-10-12 17:23:12,0.598s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Menu""))",Chrome 117.0.0.0,,,2023-10-12 17:23:12,2023-10-12 17:23:13,0.356s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Logout""))",Chrome 117.0.0.0,,,2023-10-12 17:23:13,2023-10-12 17:23:14,1.133s,PASSED
delay(3),Chrome 117.0.0.0,,,2023-10-12 17:23:14,2023-10-12 17:23:17,3.020s,PASSED
Start listener action : sampleAfterTestCase,Chrome 117.0.0.0,,,2023-10-12 17:23:17,2023-10-12 17:23:17,0.003s,PASSED
,,,,,,,
Test Cases/Data Driven/TC30 - Data Driven_CURA,Chrome 117.0.0.0,,,2023-10-12 17:23:17,2023-10-12 17:23:32,15.147s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 117.0.0.0,,,2023-10-12 17:23:17,2023-10-12 17:23:21,4.298s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username""), UserName)",Chrome 117.0.0.0,,,2023-10-12 17:23:21,2023-10-12 17:23:22,0.663s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Password""), Password)",Chrome 117.0.0.0,,,2023-10-12 17:23:22,2023-10-12 17:23:22,0.652s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Login_Btn""))",Chrome 117.0.0.0,,,2023-10-12 17:23:22,2023-10-12 17:23:23,0.940s,PASSED
"selectOptionByValue(findTestObject(""Page_CURA Healthcare Service/select_Healthcare Center""), HealthCenter, false)",Chrome 117.0.0.0,,,2023-10-12 17:23:23,2023-10-12 17:23:24,0.734s,PASSED
"check(findTestObject(""Page_CURA Healthcare Service/Hospital readmission""))",Chrome 117.0.0.0,,,2023-10-12 17:23:24,2023-10-12 17:23:25,0.366s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/input_None_programs""))",Chrome 117.0.0.0,,,2023-10-12 17:23:25,2023-10-12 17:23:25,0.339s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Visit Date""), VisitDate)",Chrome 117.0.0.0,,,2023-10-12 17:23:25,2023-10-12 17:23:26,0.695s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Comment""), Comment)",Chrome 117.0.0.0,,,2023-10-12 17:23:26,2023-10-12 17:23:27,0.982s,PASSED
"submit(findTestObject(""Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 117.0.0.0,,,2023-10-12 17:23:27,2023-10-12 17:23:27,0.584s,PASSED
"takeScreenshot(""C:\desktop\booking_confirm.jpg"")",Chrome 117.0.0.0,,,2023-10-12 17:23:27,2023-10-12 17:23:28,0.479s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Menu""))",Chrome 117.0.0.0,,,2023-10-12 17:23:28,2023-10-12 17:23:28,0.314s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Logout""))",Chrome 117.0.0.0,,,2023-10-12 17:23:28,2023-10-12 17:23:29,1.083s,PASSED
delay(3),Chrome 117.0.0.0,,,2023-10-12 17:23:29,2023-10-12 17:23:32,3.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 117.0.0.0,,,2023-10-12 17:23:32,2023-10-12 17:23:32,0.000s,PASSED
,,,,,,,
